match_id,source,target,weight,source_goals,target_goals,date,stage
1,QATAR,ECUADOR,-2,0,2,20 NOV 2022,Group A
2,ENGLAND,IRAN,4,6,2,21 NOV 2022,Group B
3,SENEGAL,NETHERLANDS,-2,0,2,21 NOV 2022,Group A
4,UNITED STATES,WALES,0,1,1,21 NOV 2022,Group B
5,ARGENTINA,SAUDI ARABIA,-1,1,2,22 NOV 2022,Group C
6,DENMARK,TUNISIA,0,0,0,22 NOV 2022,Group D
7,MEXICO,POLAND,0,0,0,22 NOV 2022,Group C
8,FRANCE,AUSTRALIA,3,4,1,22 NOV 2022,Group D
9,MOROCCO,CROATIA,0,0,0,23 NOV 2022,Group F
10,GERMANY,JAPAN,-1,1,2,23 NOV 2022,Group E
11,SPAIN,COSTA RICA,7,7,0,23 NOV 2022,Group E
12,BELGIUM,CANADA,1,1,0,23 NOV 2022,Group F
13,SWITZERLAND,CAMEROON,1,1,0,24 NOV 2022,Group G
14,URUGUAY,KOREA REPUBLIC,0,0,0,24 NOV 2022,Group H
15,PORTUGAL,GHANA,1,3,2,24 NOV 2022,Group H
16,BRAZIL,SERBIA,2,2,0,24 NOV 2022,Group G
17,WALES,IRAN,-2,0,2,25 NOV 2022,Group B
18,QATAR,SENEGAL,-2,1,3,25 NOV 2022,Group A
19,NETHERLANDS,ECUADOR,0,1,1,25 NOV 2022,Group A
20,ENGLAND,UNITED STATES,0,0,0,25 NOV 2022,Group B
21,TUNISIA,AUSTRALIA,-1,0,1,26 NOV 2022,Group D
22,POLAND,SAUDI ARABIA,2,2,0,26 NOV 2022,Group C
23,FRANCE,DENMARK,1,2,1,26 NOV 2022,Group D
24,ARGENTINA,MEXICO,2,2,0,26 NOV 2022,Group C
25,JAPAN,COSTA RICA,-1,0,1,27 NOV 2022,Group E
26,BELGIUM,MOROCCO,-2,0,2,27 NOV 2022,Group F
27,CROATIA,CANADA,3,4,1,27 NOV 2022,Group F
28,SPAIN,GERMANY,0,1,1,27 NOV 2022,Group E
29,CAMEROON,SERBIA,0,3,3,28 NOV 2022,Group G
30,KOREA REPUBLIC,GHANA,-1,2,3,28 NOV 2022,Group H
31,BRAZIL,SWITZERLAND,1,1,0,28 NOV 2022,Group G
32,PORTUGAL,URUGUAY,2,2,0,28 NOV 2022,Group H
33,NETHERLANDS,QATAR,2,2,0,29 NOV 2022,Group A
34,ECUADOR,SENEGAL,-1,1,2,29 NOV 2022,Group A
35,WALES,ENGLAND,-3,0,3,29 NOV 2022,Group B
36,IRAN,UNITED STATES,-1,0,1,29 NOV 2022,Group B
37,AUSTRALIA,DENMARK,1,1,0,30 NOV 2022,Group D
38,TUNISIA,FRANCE,1,1,0,30 NOV 2022,Group D
39,POLAND,ARGENTINA,-2,0,2,30 NOV 2022,Group C
40,SAUDI ARABIA,MEXICO,-1,1,2,30 NOV 2022,Group C
41,CROATIA,BELGIUM,0,0,0,01 DEC 2022,Group F
42,CANADA,MOROCCO,-1,1,2,01 DEC 2022,Group F
43,JAPAN,SPAIN,1,2,1,01 DEC 2022,Group E
44,COSTA RICA,GERMANY,-2,2,4,01 DEC 2022,Group E
45,GHANA,URUGUAY,-2,0,2,02 DEC 2022,Group H
46,KOREA REPUBLIC,PORTUGAL,1,2,1,02 DEC 2022,Group H
47,SERBIA,SWITZERLAND,-1,2,3,02 DEC 2022,Group G
48,CAMEROON,BRAZIL,1,1,0,02 DEC 2022,Group G
49,NETHERLANDS,UNITED STATES,2,3,1,03 DEC 2022,Round of 16
50,ARGENTINA,AUSTRALIA,1,2,1,03 DEC 2022,Round of 16
51,FRANCE,POLAND,2,3,1,04 DEC 2022,Round of 16
52,ENGLAND,SENEGAL,3,3,0,04 DEC 2022,Round of 16
53,JAPAN,CROATIA,0,1,1,05 DEC 2022,Round of 16
54,BRAZIL,KOREA REPUBLIC,3,4,1,05 DEC 2022,Round of 16
55,MOROCCO,SPAIN,0,0,0,06 DEC 2022,Round of 16
56,PORTUGAL,SWITZERLAND,5,6,1,06 DEC 2022,Round of 16
57,CROATIA,BRAZIL,0,1,1,09 DEC 2022,Quarter-final
58,NETHERLANDS,ARGENTINA,0,2,2,09 DEC 2022,Quarter-final
59,MOROCCO,PORTUGAL,1,1,0,10 DEC 2022,Quarter-final
60,ENGLAND,FRANCE,-1,1,2,10 DEC 2022,Quarter-final
61,ARGENTINA,CROATIA,3,3,0,13 DEC 2022,Semi-final
62,FRANCE,MOROCCO,2,2,0,14 DEC 2022,Semi-final
63,CROATIA,MOROCCO,1,2,1,17 DEC 2022,Play-off for third place
64,ARGENTINA,FRANCE,0,3,3,18 DEC 2022,Final
