source,target,weight
ARGENTINA,BRAZIL,0.8125657411421106
ARGENTINA,ENGLAND,0.6224055703705411
ARGENTINA,FRANCE,0.3444644097106826
ARGENTINA,GERMANY,0.7826795523664044
ARGENTINA,SPAIN,0.6823774891333043
AUSTRALIA,CAMEROON,0.635412880166597
AUSTRALIA,COSTA RICA,0.9177881882018499
AUSTRALIA,GHANA,0.7527481969729187
AUSTRALIA,IRAN,0.69366355435542
AUSTRALIA,JAPAN,0.6637132971147861
AUSTRALIA,MOROCCO,0.7941997405435227
AUSTRALIA,NETHERLANDS,0.4169314455762947
AUSTRALIA,POLAND,0.61170718488832
AUSTRALIA,SAUDI ARABIA,0.6865008862250319
AUSTRALIA,URUGUAY,0.5505804501421946
AUSTRALIA,WALES,0.5873761227895808
BELGIUM,CANADA,0.44301156415783544
BELGIUM,ENGLAND,0.6394508274190351
BELGIUM,FRANCE,0.5089899497042704
BELGIUM,PORTUGAL,0.4284144640605364
BRAZIL,FRANCE,0.47969071678924724
BRAZIL,GERMANY,0.8672963155720375
BRAZIL,MEXICO,0.4316039879694939
BRAZIL,PORTUGAL,0.5754024392008452
CAMEROON,COSTA RICA,0.5919882927422497
CAMEROON,ECUADOR,0.34319341191265124
CAMEROON,GHANA,0.6375537316830111
CAMEROON,NETHERLANDS,0.49412418690221993
CAMEROON,SAUDI ARABIA,0.6066206518079003
CANADA,POLAND,0.3255792751226595
CANADA,SENEGAL,0.3401359341878567
CANADA,SWITZERLAND,0.5099153837164717
COSTA RICA,GHANA,0.7267870659324289
COSTA RICA,IRAN,0.5917142819361171
COSTA RICA,JAPAN,0.6002126131100558
COSTA RICA,MOROCCO,0.8105860152119185
COSTA RICA,NETHERLANDS,0.4900631009012053
COSTA RICA,QATAR,0.3654564518734539
COSTA RICA,SAUDI ARABIA,0.5414093157544888
COSTA RICA,SWITZERLAND,0.447420698280973
CROATIA,DENMARK,0.7438221621111477
CROATIA,KOREA REPUBLIC,0.4519787252865406
CROATIA,PORTUGAL,0.4937261175363278
CROATIA,SPAIN,0.6018353982613278
DENMARK,KOREA REPUBLIC,0.6333216307643786
DENMARK,PORTUGAL,0.6302562597727249
DENMARK,SPAIN,0.6550398672265391
DENMARK,UNITED STATES,0.37884920437001923
ECUADOR,GHANA,0.4248384718293392
ECUADOR,QATAR,0.3347467230134268
ECUADOR,WALES,0.3884953017814452
ENGLAND,KOREA REPUBLIC,0.46023392294957693
ENGLAND,PORTUGAL,0.7979178967610733
ENGLAND,SPAIN,0.5945956942030524
FRANCE,GERMANY,0.6266051433949682
GERMANY,MEXICO,0.6256254938221883
GERMANY,UNITED STATES,0.3673595464134556
GHANA,JAPAN,0.5684339184837204
GHANA,MOROCCO,0.6083628308926989
GHANA,NETHERLANDS,0.5718294811363348
GHANA,TUNISIA,0.42238737860715914
IRAN,MOROCCO,0.604086724087245
IRAN,SAUDI ARABIA,0.7124350341457385
IRAN,TUNISIA,0.42631352207698
JAPAN,MOROCCO,0.5979193041480296
JAPAN,TUNISIA,0.48398341965000746
KOREA REPUBLIC,PORTUGAL,0.7066147293257252
KOREA REPUBLIC,SENEGAL,0.35528465568283757
MEXICO,PORTUGAL,0.3719962799029361
MEXICO,SENEGAL,0.3487941228937125
MEXICO,UNITED STATES,0.3868132033621409
MOROCCO,POLAND,0.6872755124942259
MOROCCO,QATAR,0.5273547536955767
MOROCCO,SERBIA,0.4821844083298951
MOROCCO,URUGUAY,0.6987048459927373
MOROCCO,WALES,0.7172327144680122
POLAND,QATAR,0.5328400310246418
POLAND,SENEGAL,0.36613369143831676
POLAND,SERBIA,0.6100008223774867
POLAND,SWITZERLAND,0.512018802972477
POLAND,URUGUAY,0.6351476031496632
POLAND,WALES,0.6619516194510146
PORTUGAL,SPAIN,0.6238201578763688
QATAR,WALES,0.7814230512891585
SERBIA,SWITZERLAND,0.4961515436759278
SERBIA,URUGUAY,0.5375060598757054
SPAIN,UNITED STATES,0.5529853123909559
SWITZERLAND,TUNISIA,0.4263115513615846
